query	target	match/tLen	mismatch	gapOpen	qstart	qend	tstart	tend	score	eval	cluster_id	reference	member	members	prodigal	phrog	color	annot	category	start	end	strand
YP_010112795.1	phrog_11589	0.056	485	453	0	1	494	1	484	2.76E-152	55231	YP_010112795.1	YP_010112795.1	35.0	2.0	11589.0	#3e83f6	major head protein	head and packaging			
YP_010112795.1	phrog_11589	0.056	485	453	0	1	494	1	484	2.76E-152	55231	YP_010112795.1	YP_010113135.1	35.0	2.0	11589.0	#3e83f6	major head protein	head and packaging			
YP_010112795.1	phrog_11589	0.056	485	453	0	1	494	1	484	2.76E-152	55231	YP_010112795.1	YP_010088155.1	35.0	2.0	11589.0	#3e83f6	major head protein	head and packaging			
YP_010112795.1	phrog_11589	0.056	485	453	0	1	494	1	484	2.76E-152	55231	YP_010112795.1	bin_22||F1T2_NODE_7_length_14206_cov_35.101618_10	35.0	2.0	11589.0	#3e83f6	major head protein	head and packaging	5744.0	7228.0	-
YP_010112795.1	phrog_11589	0.056	485	453	0	1	494	1	484	2.76E-152	55231	YP_010112795.1	YP_010110620.1	35.0	2.0	11589.0	#3e83f6	major head protein	head and packaging			
YP_010112795.1	phrog_11589	0.056	485	453	0	1	494	1	484	2.76E-152	55231	YP_010112795.1	YP_010113460.1	35.0	2.0	11589.0	#3e83f6	major head protein	head and packaging			
YP_010112795.1	phrog_11589	0.056	485	453	0	1	494	1	484	2.76E-152	55231	YP_010112795.1	YP_010112643.1	35.0	2.0	11589.0	#3e83f6	major head protein	head and packaging			
YP_010112795.1	phrog_11589	0.056	485	453	0	1	494	1	484	2.76E-152	55231	YP_010112795.1	YP_010113205.1	35.0	2.0	11589.0	#3e83f6	major head protein	head and packaging			
YP_010112795.1	phrog_11589	0.056	485	453	0	1	494	1	484	2.76E-152	55231	YP_010112795.1	YP_010110241.1	35.0	2.0	11589.0	#3e83f6	major head protein	head and packaging			
YP_010112795.1	phrog_11589	0.056	485	453	0	1	494	1	484	2.76E-152	55231	YP_010112795.1	YP_010112188.1	35.0	2.0	11589.0	#3e83f6	major head protein	head and packaging			
YP_010112795.1	phrog_11589	0.056	485	453	0	1	494	1	484	2.76E-152	55231	YP_010112795.1	YP_010112469.1	35.0	2.0	11589.0	#3e83f6	major head protein	head and packaging			
YP_010112795.1	phrog_11589	0.056	485	453	0	1	494	1	484	2.76E-152	55231	YP_010112795.1	YP_010113001.1	35.0	2.0	11589.0	#3e83f6	major head protein	head and packaging			
YP_010112795.1	phrog_11589	0.056	485	453	0	1	494	1	484	2.76E-152	55231	YP_010112795.1	YP_010112622.1	35.0	2.0	11589.0	#3e83f6	major head protein	head and packaging			
YP_010112795.1	phrog_11589	0.056	485	453	0	1	494	1	484	2.76E-152	55231	YP_010112795.1	bin_62||F3M_NODE_2_length_96186_cov_32.177903_26	35.0	2.0	11589.0	#3e83f6	major head protein	head and packaging	13976.0	15268.0	-
YP_010112795.1	phrog_11589	0.056	485	453	0	1	494	1	484	2.76E-152	55231	YP_010112795.1	YP_010113282.1	35.0	2.0	11589.0	#3e83f6	major head protein	head and packaging			
YP_010112795.1	phrog_11589	0.056	485	453	0	1	494	1	484	2.76E-152	55231	YP_010112795.1	YP_010112949.1	35.0	2.0	11589.0	#3e83f6	major head protein	head and packaging			
YP_010112795.1	phrog_11589	0.056	485	453	0	1	494	1	484	2.76E-152	55231	YP_010112795.1	YP_010112869.1	35.0	2.0	11589.0	#3e83f6	major head protein	head and packaging			
YP_010112795.1	phrog_11589	0.056	485	453	0	1	494	1	484	2.76E-152	55231	YP_010112795.1	YP_010112390.1	35.0	2.0	11589.0	#3e83f6	major head protein	head and packaging			
